Board,Grade,Subject,Locale,Content Availability,Remarks
Andhra Pradesh Board,1st Grade,Mathematics,English,No,
Andhra Pradesh Board,1st Grade,Environmental Studies,English,No,
Andhra Pradesh Board,1st Grade,Computer Awareness,English,No,
Andhra Pradesh Board,1st Grade,General Knowledge,English,No,
Andhra Pradesh Board,1st Grade,Moral Education,English,No,
Andhra Pradesh Board,1st Grade,Physical Education,English,No,
Andhra Pradesh Board,1st Grade,Art & Craft,English,No,
Andhra Pradesh Board,1st Grade,Work Education,English,No,
Andhra Pradesh Board,1st Grade,English,English,No,
Andhra Pradesh Board,1st Grade,Telugu,English,No,
Andhra Pradesh Board,1st Grade,Hindi,English,No,
Andhra Pradesh Board,1st Grade,Urdu,English,No,
Andhra Pradesh Board,2nd Grade,Mathematics,English,No,
Andhra Pradesh Board,2nd Grade,Environmental Studies,English,No,
Andhra Pradesh Board,2nd Grade,Computer Awareness,English,No,
Andhra Pradesh Board,2nd Grade,General Knowledge,English,No,
Andhra Pradesh Board,2nd Grade,Moral Education,English,No,
Andhra Pradesh Board,2nd Grade,Physical Education,English,No,
Andhra Pradesh Board,2nd Grade,Art & Craft,English,No,
Andhra Pradesh Board,2nd Grade,Work Education,English,No,
Andhra Pradesh Board,2nd Grade,English,English,No,
Andhra Pradesh Board,2nd Grade,Telugu,English,No,
Andhra Pradesh Board,2nd Grade,Hindi,English,No,
Andhra Pradesh Board,2nd Grade,Urdu,English,No,
Andhra Pradesh Board,3rd Grade,Mathematics,English,No,
Andhra Pradesh Board,3rd Grade,Environmental Studies,English,No,
Andhra Pradesh Board,3rd Grade,Computer Awareness,English,No,
Andhra Pradesh Board,3rd Grade,General Knowledge,English,No,
Andhra Pradesh Board,3rd Grade,Moral Education,English,No,
Andhra Pradesh Board,3rd Grade,Physical Education,English,No,
Andhra Pradesh Board,3rd Grade,Art & Craft,English,No,
Andhra Pradesh Board,3rd Grade,Work Education,English,No,
Andhra Pradesh Board,3rd Grade,English,English,No,
Andhra Pradesh Board,3rd Grade,Telugu,English,No,
Andhra Pradesh Board,3rd Grade,Hindi,English,No,
Andhra Pradesh Board,3rd Grade,Urdu,English,No,
Andhra Pradesh Board,4th Grade,Mathematics,English,No,
Andhra Pradesh Board,4th Grade,Environmental Studies,English,No,
Andhra Pradesh Board,4th Grade,Computer Awareness,English,No,
Andhra Pradesh Board,4th Grade,General Knowledge,English,No,
Andhra Pradesh Board,4th Grade,Moral Education,English,No,
Andhra Pradesh Board,4th Grade,Physical Education,English,No,
Andhra Pradesh Board,4th Grade,Art & Craft,English,No,
Andhra Pradesh Board,4th Grade,Work Education,English,No,
Andhra Pradesh Board,4th Grade,English,English,No,
Andhra Pradesh Board,4th Grade,Telugu,English,No,
Andhra Pradesh Board,4th Grade,Hindi,English,No,
Andhra Pradesh Board,4th Grade,Urdu,English,No,
Andhra Pradesh Board,5th Grade,Mathematics,English,No,
Andhra Pradesh Board,5th Grade,Environmental Studies,English,No,
Andhra Pradesh Board,5th Grade,Computer Awareness,English,No,
Andhra Pradesh Board,5th Grade,General Knowledge,English,No,
Andhra Pradesh Board,5th Grade,Moral Education,English,No,
Andhra Pradesh Board,5th Grade,Physical Education,English,No,
Andhra Pradesh Board,5th Grade,Art & Craft,English,No,
Andhra Pradesh Board,5th Grade,Work Education,English,No,
Andhra Pradesh Board,5th Grade,English,English,No,
Andhra Pradesh Board,5th Grade,Telugu,English,No,
Andhra Pradesh Board,5th Grade,Hindi,English,No,
Andhra Pradesh Board,5th Grade,Urdu,English,No,
Andhra Pradesh Board,6th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,6th Grade,Science,English,Yes,
Andhra Pradesh Board,6th Grade,Physical Science,English,No,
Andhra Pradesh Board,6th Grade,Social Studies,English,No,
Andhra Pradesh Board,6th Grade,Computer Education,English,No,
Andhra Pradesh Board,6th Grade,Physical Education,English,No,
Andhra Pradesh Board,6th Grade,Art Education,English,No,
Andhra Pradesh Board,6th Grade,Work Education,English,No,
Andhra Pradesh Board,6th Grade,English,English,No,
Andhra Pradesh Board,6th Grade,Telugu,English,No,
Andhra Pradesh Board,6th Grade,Hindi,English,No,
Andhra Pradesh Board,6th Grade,Urdu,English,No,
Andhra Pradesh Board,6th Grade,Sanskrit,English,No,
Andhra Pradesh Board,7th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,7th Grade,Science,English,Yes,
Andhra Pradesh Board,7th Grade,Physical Science,English,No,
Andhra Pradesh Board,7th Grade,Social Studies,English,No,
Andhra Pradesh Board,7th Grade,Computer Education,English,No,
Andhra Pradesh Board,7th Grade,Physical Education,English,No,
Andhra Pradesh Board,7th Grade,Art Education,English,No,
Andhra Pradesh Board,7th Grade,Work Education,English,No,
Andhra Pradesh Board,7th Grade,English,English,No,
Andhra Pradesh Board,7th Grade,Telugu,English,No,
Andhra Pradesh Board,7th Grade,Hindi,English,No,
Andhra Pradesh Board,7th Grade,Urdu,English,No,
Andhra Pradesh Board,7th Grade,Sanskrit,English,No,
Andhra Pradesh Board,8th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,8th Grade,Science,English,Yes,
Andhra Pradesh Board,8th Grade,Physical Science,English,No,
Andhra Pradesh Board,8th Grade,Social Studies,English,No,
Andhra Pradesh Board,8th Grade,Computer Education,English,No,
Andhra Pradesh Board,8th Grade,Physical Education,English,No,
Andhra Pradesh Board,8th Grade,Art Education,English,No,
Andhra Pradesh Board,8th Grade,Work Education,English,No,
Andhra Pradesh Board,8th Grade,English,English,No,
Andhra Pradesh Board,8th Grade,Telugu,English,No,
Andhra Pradesh Board,8th Grade,Hindi,English,No,
Andhra Pradesh Board,8th Grade,Urdu,English,No,
Andhra Pradesh Board,8th Grade,Sanskrit,English,No,
Andhra Pradesh Board,9th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,9th Grade,Science,English,Yes,
Andhra Pradesh Board,9th Grade,Physical Science,English,No,
Andhra Pradesh Board,9th Grade,Social Studies,English,No,
Andhra Pradesh Board,9th Grade,Computer Education,English,No,
Andhra Pradesh Board,9th Grade,Physical Education,English,No,
Andhra Pradesh Board,9th Grade,Art Education,English,No,
Andhra Pradesh Board,9th Grade,Work Education,English,No,
Andhra Pradesh Board,9th Grade,English,English,No,
Andhra Pradesh Board,9th Grade,Telugu,English,No,
Andhra Pradesh Board,9th Grade,Hindi,English,No,
Andhra Pradesh Board,9th Grade,Urdu,English,No,
Andhra Pradesh Board,9th Grade,Sanskrit,English,No,
Andhra Pradesh Board,10th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,10th Grade,Science,English,Yes,
Andhra Pradesh Board,10th Grade,Physical Science,English,No,
Andhra Pradesh Board,10th Grade,Social Studies,English,No,
Andhra Pradesh Board,10th Grade,Computer Education,English,No,
Andhra Pradesh Board,10th Grade,Physical Education,English,No,
Andhra Pradesh Board,10th Grade,Art Education,English,No,
Andhra Pradesh Board,10th Grade,Work Education,English,No,
Andhra Pradesh Board,10th Grade,English,English,No,
Andhra Pradesh Board,10th Grade,Telugu,English,No,
Andhra Pradesh Board,10th Grade,Hindi,English,No,
Andhra Pradesh Board,10th Grade,Urdu,English,No,
Andhra Pradesh Board,10th Grade,Sanskrit,English,No,
Andhra Pradesh Board,11th Grade,Physics,English,Yes,
Andhra Pradesh Board,11th Grade,Chemistry,English,Yes,
Andhra Pradesh Board,11th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,11th Grade,Biology,English,Yes,
Andhra Pradesh Board,11th Grade,Computer Science,English,No,
Andhra Pradesh Board,11th Grade,Electronics,English,No,
Andhra Pradesh Board,11th Grade,Economics,English,No,
Andhra Pradesh Board,11th Grade,Civics,English,No,
Andhra Pradesh Board,11th Grade,History,English,No,
Andhra Pradesh Board,11th Grade,Geography,English,No,
Andhra Pradesh Board,11th Grade,Commerce,English,No,
Andhra Pradesh Board,11th Grade,Accountancy,English,No,
Andhra Pradesh Board,11th Grade,Business Studies,English,No,
Andhra Pradesh Board,11th Grade,Public Administration,English,No,
Andhra Pradesh Board,11th Grade,Sociology,English,No,
Andhra Pradesh Board,11th Grade,Psychology,English,No,
Andhra Pradesh Board,11th Grade,Logic & Philosophy,English,No,
Andhra Pradesh Board,11th Grade,Home Science,English,No,
Andhra Pradesh Board,11th Grade,English,English,No,
Andhra Pradesh Board,11th Grade,Telugu,English,No,
Andhra Pradesh Board,11th Grade,Hindi,English,No,
Andhra Pradesh Board,11th Grade,Sanskrit,English,No,
Andhra Pradesh Board,11th Grade,Urdu,English,No,
Andhra Pradesh Board,12th Grade,Physics,English,Yes,
Andhra Pradesh Board,12th Grade,Chemistry,English,Yes,
Andhra Pradesh Board,12th Grade,Mathematics,English,Yes,
Andhra Pradesh Board,12th Grade,Biology,English,Yes,
Andhra Pradesh Board,12th Grade,Computer Science,English,No,
Andhra Pradesh Board,12th Grade,Electronics,English,No,
Andhra Pradesh Board,12th Grade,Economics,English,No,
Andhra Pradesh Board,12th Grade,Civics,English,No,
Andhra Pradesh Board,12th Grade,History,English,No,
Andhra Pradesh Board,12th Grade,Geography,English,No,
Andhra Pradesh Board,12th Grade,Commerce,English,No,
Andhra Pradesh Board,12th Grade,Accountancy,English,No,
Andhra Pradesh Board,12th Grade,Business Studies,English,No,
Andhra Pradesh Board,12th Grade,Public Administration,English,No,
Andhra Pradesh Board,12th Grade,Sociology,English,No,
Andhra Pradesh Board,12th Grade,Psychology,English,No,
Andhra Pradesh Board,12th Grade,Logic & Philosophy,English,No,
Andhra Pradesh Board,12th Grade,Home Science,English,No,
Andhra Pradesh Board,12th Grade,English,English,No,
Andhra Pradesh Board,12th Grade,Telugu,English,No,
Andhra Pradesh Board,12th Grade,Hindi,English,No,
Andhra Pradesh Board,12th Grade,Sanskrit,English,No,
Andhra Pradesh Board,12th Grade,Urdu,English,No,
Andhra Pradesh Board,1st Grade,Mathematics,Telugu,No,
Andhra Pradesh Board,1st Grade,Environmental Studies,Telugu,No,
Andhra Pradesh Board,1st Grade,Computer Awareness,Telugu,No,
Andhra Pradesh Board,1st Grade,General Knowledge,Telugu,No,
Andhra Pradesh Board,1st Grade,Moral Education,Telugu,No,
Andhra Pradesh Board,1st Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,1st Grade,Art & Craft,Telugu,No,
Andhra Pradesh Board,1st Grade,Work Education,Telugu,No,
Andhra Pradesh Board,1st Grade,English,Telugu,No,
Andhra Pradesh Board,1st Grade,Telugu,Telugu,No,
Andhra Pradesh Board,1st Grade,Hindi,Telugu,No,
Andhra Pradesh Board,1st Grade,Urdu,Telugu,No,
Andhra Pradesh Board,2nd Grade,Mathematics,Telugu,No,
Andhra Pradesh Board,2nd Grade,Environmental Studies,Telugu,No,
Andhra Pradesh Board,2nd Grade,Computer Awareness,Telugu,No,
Andhra Pradesh Board,2nd Grade,General Knowledge,Telugu,No,
Andhra Pradesh Board,2nd Grade,Moral Education,Telugu,No,
Andhra Pradesh Board,2nd Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,2nd Grade,Art & Craft,Telugu,No,
Andhra Pradesh Board,2nd Grade,Work Education,Telugu,No,
Andhra Pradesh Board,2nd Grade,English,Telugu,No,
Andhra Pradesh Board,2nd Grade,Telugu,Telugu,No,
Andhra Pradesh Board,2nd Grade,Hindi,Telugu,No,
Andhra Pradesh Board,2nd Grade,Urdu,Telugu,No,
Andhra Pradesh Board,3rd Grade,Mathematics,Telugu,No,
Andhra Pradesh Board,3rd Grade,Environmental Studies,Telugu,No,
Andhra Pradesh Board,3rd Grade,Computer Awareness,Telugu,No,
Andhra Pradesh Board,3rd Grade,General Knowledge,Telugu,No,
Andhra Pradesh Board,3rd Grade,Moral Education,Telugu,No,
Andhra Pradesh Board,3rd Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,3rd Grade,Art & Craft,Telugu,No,
Andhra Pradesh Board,3rd Grade,Work Education,Telugu,No,
Andhra Pradesh Board,3rd Grade,English,Telugu,No,
Andhra Pradesh Board,3rd Grade,Telugu,Telugu,No,
Andhra Pradesh Board,3rd Grade,Hindi,Telugu,No,
Andhra Pradesh Board,3rd Grade,Urdu,Telugu,No,
Andhra Pradesh Board,4th Grade,Mathematics,Telugu,No,
Andhra Pradesh Board,4th Grade,Environmental Studies,Telugu,No,
Andhra Pradesh Board,4th Grade,Computer Awareness,Telugu,No,
Andhra Pradesh Board,4th Grade,General Knowledge,Telugu,No,
Andhra Pradesh Board,4th Grade,Moral Education,Telugu,No,
Andhra Pradesh Board,4th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,4th Grade,Art & Craft,Telugu,No,
Andhra Pradesh Board,4th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,4th Grade,English,Telugu,No,
Andhra Pradesh Board,4th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,4th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,4th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,5th Grade,Mathematics,Telugu,No,
Andhra Pradesh Board,5th Grade,Environmental Studies,Telugu,No,
Andhra Pradesh Board,5th Grade,Computer Awareness,Telugu,No,
Andhra Pradesh Board,5th Grade,General Knowledge,Telugu,No,
Andhra Pradesh Board,5th Grade,Moral Education,Telugu,No,
Andhra Pradesh Board,5th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,5th Grade,Art & Craft,Telugu,No,
Andhra Pradesh Board,5th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,5th Grade,English,Telugu,No,
Andhra Pradesh Board,5th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,5th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,5th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,6th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,6th Grade,Science,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,6th Grade,Physical Science,Telugu,No,
Andhra Pradesh Board,6th Grade,Social Studies,Telugu,No,
Andhra Pradesh Board,6th Grade,Computer Education,Telugu,No,
Andhra Pradesh Board,6th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,6th Grade,Art Education,Telugu,No,
Andhra Pradesh Board,6th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,6th Grade,English,Telugu,No,
Andhra Pradesh Board,6th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,6th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,6th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,6th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,7th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,7th Grade,Science,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,7th Grade,Physical Science,Telugu,No,
Andhra Pradesh Board,7th Grade,Social Studies,Telugu,No,
Andhra Pradesh Board,7th Grade,Computer Education,Telugu,No,
Andhra Pradesh Board,7th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,7th Grade,Art Education,Telugu,No,
Andhra Pradesh Board,7th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,7th Grade,English,Telugu,No,
Andhra Pradesh Board,7th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,7th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,7th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,7th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,8th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,8th Grade,Science,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,8th Grade,Physical Science,Telugu,No,
Andhra Pradesh Board,8th Grade,Social Studies,Telugu,No,
Andhra Pradesh Board,8th Grade,Computer Education,Telugu,No,
Andhra Pradesh Board,8th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,8th Grade,Art Education,Telugu,No,
Andhra Pradesh Board,8th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,8th Grade,English,Telugu,No,
Andhra Pradesh Board,8th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,8th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,8th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,8th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,9th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,9th Grade,Science,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,9th Grade,Physical Science,Telugu,No,
Andhra Pradesh Board,9th Grade,Social Studies,Telugu,No,
Andhra Pradesh Board,9th Grade,Computer Education,Telugu,No,
Andhra Pradesh Board,9th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,9th Grade,Art Education,Telugu,No,
Andhra Pradesh Board,9th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,9th Grade,English,Telugu,No,
Andhra Pradesh Board,9th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,9th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,9th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,9th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,10th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,10th Grade,Science,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,10th Grade,Physical Science,Telugu,No,
Andhra Pradesh Board,10th Grade,Social Studies,Telugu,No,
Andhra Pradesh Board,10th Grade,Computer Education,Telugu,No,
Andhra Pradesh Board,10th Grade,Physical Education,Telugu,No,
Andhra Pradesh Board,10th Grade,Art Education,Telugu,No,
Andhra Pradesh Board,10th Grade,Work Education,Telugu,No,
Andhra Pradesh Board,10th Grade,English,Telugu,No,
Andhra Pradesh Board,10th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,10th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,10th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,10th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,11th Grade,Physics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,11th Grade,Chemistry,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,11th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,11th Grade,Biology,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,11th Grade,Computer Science,Telugu,No,
Andhra Pradesh Board,11th Grade,Electronics,Telugu,No,
Andhra Pradesh Board,11th Grade,Economics,Telugu,No,
Andhra Pradesh Board,11th Grade,Civics,Telugu,No,
Andhra Pradesh Board,11th Grade,History,Telugu,No,
Andhra Pradesh Board,11th Grade,Geography,Telugu,No,
Andhra Pradesh Board,11th Grade,Commerce,Telugu,No,
Andhra Pradesh Board,11th Grade,Accountancy,Telugu,No,
Andhra Pradesh Board,11th Grade,Business Studies,Telugu,No,
Andhra Pradesh Board,11th Grade,Public Administration,Telugu,No,
Andhra Pradesh Board,11th Grade,Sociology,Telugu,No,
Andhra Pradesh Board,11th Grade,Psychology,Telugu,No,
Andhra Pradesh Board,11th Grade,Logic & Philosophy,Telugu,No,
Andhra Pradesh Board,11th Grade,Home Science,Telugu,No,
Andhra Pradesh Board,11th Grade,English,Telugu,No,
Andhra Pradesh Board,11th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,11th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,11th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,11th Grade,Urdu,Telugu,No,
Andhra Pradesh Board,12th Grade,Physics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,12th Grade,Chemistry,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,12th Grade,Mathematics,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,12th Grade,Biology,Telugu,Partial,"Partial Coverage of videos, lessons and private publishers"
Andhra Pradesh Board,12th Grade,Computer Science,Telugu,No,
Andhra Pradesh Board,12th Grade,Electronics,Telugu,No,
Andhra Pradesh Board,12th Grade,Economics,Telugu,No,
Andhra Pradesh Board,12th Grade,Civics,Telugu,No,
Andhra Pradesh Board,12th Grade,History,Telugu,No,
Andhra Pradesh Board,12th Grade,Geography,Telugu,No,
Andhra Pradesh Board,12th Grade,Commerce,Telugu,No,
Andhra Pradesh Board,12th Grade,Accountancy,Telugu,No,
Andhra Pradesh Board,12th Grade,Business Studies,Telugu,No,
Andhra Pradesh Board,12th Grade,Public Administration,Telugu,No,
Andhra Pradesh Board,12th Grade,Sociology,Telugu,No,
Andhra Pradesh Board,12th Grade,Psychology,Telugu,No,
Andhra Pradesh Board,12th Grade,Logic & Philosophy,Telugu,No,
Andhra Pradesh Board,12th Grade,Home Science,Telugu,No,
Andhra Pradesh Board,12th Grade,English,Telugu,No,
Andhra Pradesh Board,12th Grade,Telugu,Telugu,No,
Andhra Pradesh Board,12th Grade,Hindi,Telugu,No,
Andhra Pradesh Board,12th Grade,Sanskrit,Telugu,No,
Andhra Pradesh Board,12th Grade,Urdu,Telugu,No,
Arunachal Pradesh Board,1st Grade,Mathematics,English,No,
Arunachal Pradesh Board,1st Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,1st Grade,Computer Awareness,English,No,
Arunachal Pradesh Board,1st Grade,General Knowledge,English,No,
Arunachal Pradesh Board,1st Grade,Moral Education,English,No,
Arunachal Pradesh Board,1st Grade,Physical Education,English,No,
Arunachal Pradesh Board,1st Grade,Art & Craft,English,No,
Arunachal Pradesh Board,1st Grade,Work Education,English,No,
Arunachal Pradesh Board,1st Grade,English,English,No,
Arunachal Pradesh Board,1st Grade,Hindi,English,No,
Arunachal Pradesh Board,1st Grade,Assamese,English,No,
Arunachal Pradesh Board,1st Grade,Bengali,English,No,
Arunachal Pradesh Board,1st Grade,Nepali,English,No,
Arunachal Pradesh Board,2nd Grade,Mathematics,English,No,
Arunachal Pradesh Board,2nd Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,2nd Grade,Computer Awareness,English,No,
Arunachal Pradesh Board,2nd Grade,General Knowledge,English,No,
Arunachal Pradesh Board,2nd Grade,Moral Education,English,No,
Arunachal Pradesh Board,2nd Grade,Physical Education,English,No,
Arunachal Pradesh Board,2nd Grade,Art & Craft,English,No,
Arunachal Pradesh Board,2nd Grade,Work Education,English,No,
Arunachal Pradesh Board,2nd Grade,English,English,No,
Arunachal Pradesh Board,2nd Grade,Hindi,English,No,
Arunachal Pradesh Board,2nd Grade,Assamese,English,No,
Arunachal Pradesh Board,2nd Grade,Bengali,English,No,
Arunachal Pradesh Board,2nd Grade,Nepali,English,No,
Arunachal Pradesh Board,3rd Grade,Mathematics,English,No,
Arunachal Pradesh Board,3rd Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,3rd Grade,Computer Awareness,English,No,
Arunachal Pradesh Board,3rd Grade,General Knowledge,English,No,
Arunachal Pradesh Board,3rd Grade,Moral Education,English,No,
Arunachal Pradesh Board,3rd Grade,Physical Education,English,No,
Arunachal Pradesh Board,3rd Grade,Art & Craft,English,No,
Arunachal Pradesh Board,3rd Grade,Work Education,English,No,
Arunachal Pradesh Board,3rd Grade,English,English,No,
Arunachal Pradesh Board,3rd Grade,Hindi,English,No,
Arunachal Pradesh Board,3rd Grade,Assamese,English,No,
Arunachal Pradesh Board,3rd Grade,Bengali,English,No,
Arunachal Pradesh Board,3rd Grade,Nepali,English,No,
Arunachal Pradesh Board,4th Grade,Mathematics,English,No,
Arunachal Pradesh Board,4th Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,4th Grade,Computer Awareness,English,No,
Arunachal Pradesh Board,4th Grade,General Knowledge,English,No,
Arunachal Pradesh Board,4th Grade,Moral Education,English,No,
Arunachal Pradesh Board,4th Grade,Physical Education,English,No,
Arunachal Pradesh Board,4th Grade,Art & Craft,English,No,
Arunachal Pradesh Board,4th Grade,Work Education,English,No,
Arunachal Pradesh Board,4th Grade,English,English,No,
Arunachal Pradesh Board,4th Grade,Hindi,English,No,
Arunachal Pradesh Board,4th Grade,Assamese,English,No,
Arunachal Pradesh Board,4th Grade,Bengali,English,No,
Arunachal Pradesh Board,4th Grade,Nepali,English,No,
Arunachal Pradesh Board,5th Grade,Mathematics,English,No,
Arunachal Pradesh Board,5th Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,5th Grade,Computer Awareness,English,No,
Arunachal Pradesh Board,5th Grade,General Knowledge,English,No,
Arunachal Pradesh Board,5th Grade,Moral Education,English,No,
Arunachal Pradesh Board,5th Grade,Physical Education,English,No,
Arunachal Pradesh Board,5th Grade,Art & Craft,English,No,
Arunachal Pradesh Board,5th Grade,Work Education,English,No,
Arunachal Pradesh Board,5th Grade,English,English,No,
Arunachal Pradesh Board,5th Grade,Hindi,English,No,
Arunachal Pradesh Board,5th Grade,Assamese,English,No,
Arunachal Pradesh Board,5th Grade,Bengali,English,No,
Arunachal Pradesh Board,5th Grade,Nepali,English,No,
Arunachal Pradesh Board,6th Grade,Mathematics,English,Yes,
Arunachal Pradesh Board,6th Grade,Science,English,Yes,
Arunachal Pradesh Board,6th Grade,Social Science,English,Partial,Partial Coverage of Lessons and Videos
Arunachal Pradesh Board,6th Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,6th Grade,Computer Education,English,No,
Arunachal Pradesh Board,6th Grade,Physical Education,English,No,
Arunachal Pradesh Board,6th Grade,Art Education,English,No,
Arunachal Pradesh Board,6th Grade,Work Education,English,No,
Arunachal Pradesh Board,6th Grade,English,English,No,
Arunachal Pradesh Board,6th Grade,Hindi,English,No,
Arunachal Pradesh Board,6th Grade,Assamese,English,No,
Arunachal Pradesh Board,6th Grade,Bengali,English,No,
Arunachal Pradesh Board,6th Grade,Nepali,English,No,
Arunachal Pradesh Board,6th Grade,Sanskrit,English,No,
Arunachal Pradesh Board,7th Grade,Mathematics,English,Yes,
Arunachal Pradesh Board,7th Grade,Science,English,Yes,
Arunachal Pradesh Board,7th Grade,Social Science,English,Partial,Partial Coverage of Lessons and Videos
Arunachal Pradesh Board,7th Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,7th Grade,Computer Education,English,No,
Arunachal Pradesh Board,7th Grade,Physical Education,English,No,
Arunachal Pradesh Board,7th Grade,Art Education,English,No,
Arunachal Pradesh Board,7th Grade,Work Education,English,No,
Arunachal Pradesh Board,7th Grade,English,English,No,
Arunachal Pradesh Board,7th Grade,Hindi,English,No,
Arunachal Pradesh Board,7th Grade,Assamese,English,No,
Arunachal Pradesh Board,7th Grade,Bengali,English,No,
Arunachal Pradesh Board,7th Grade,Nepali,English,No,
Arunachal Pradesh Board,7th Grade,Sanskrit,English,No,
Arunachal Pradesh Board,8th Grade,Mathematics,English,Yes,
Arunachal Pradesh Board,8th Grade,Science,English,Yes,
Arunachal Pradesh Board,8th Grade,Social Science,English,Partial,Partial Coverage of Lessons and Videos
Arunachal Pradesh Board,8th Grade,Environmental Studies,English,No,
Arunachal Pradesh Board,8th Grade,Computer Education,English,No,
Arunachal Pradesh Board,8th Grade,Physical Education,English,No,
Arunachal Pradesh Board,8th Grade,Art Education,English,No,
Arunachal Pradesh Board,8th Grade,Work Education,English,No,
Arunachal Pradesh Board,8th Grade,English,English,No,
Arunachal Pradesh Board,8th Grade,Hindi,English,No,
Arunachal Pradesh Board,8th Grade,Assamese,English,No,
Arunachal Pradesh Board,8th Grade,Bengali,English,No,
Arunachal Pradesh Board,8th Grade,Nepali,English,No,
Arunachal Pradesh Board,8th Grade,Sanskrit,English,No,
